ID	samcam	field.ID	field	Anguinidae	Aphelenchidae	Aphelenchoididae	Diphterophoridae	Leptonchidae	Diplogasteridae	Panagrolaimidae	Rhabditidae	Cephalobidae	Plectidae	Alaimidae	Nordiidae	Qudsianematidae	Aporcelaimidae	Belondiridae	Thornenematidae	Anatonchidae	Mononchidae	Discolaimidae	Nygolaimidae	Psilenchidae	Tylenchidae	Criconematidae	Telotylenchidae	Hoplolaimidae	Pratylenchidae	carnivore	bacterivore	fungivore	herbivore	omnivore	N	MI	MI2-5	PPI	summedMI	summedMI2-5	PPI/MI	BI	EI	SI	CI	NCR
26	2	11	ND2011	0	0	0	0	0	0	3	2	14	3	0	0	3	0	1	3	0	4	0	0	0	6	1	1	59	0	4	22	0	67	7	100	2.64	2.93	2.91	2.82	2.92	1.10	18.89	54.05	75.71	0.00	0.00
27	2	12	RO2011	0	7	1	0	0	0	9	10	27	1	0	0	1	2	0	0	0	0	0	0	0	6	0	2	31	0	0	47	8	39	3	97	1.81	2.21	2.85	2.23	2.53	1.57	26.37	70.00	31.43	9.52	0.15
28	2	13	DOMaisI	0	1	1	0	0	0	3	15	6	6	0	0	4	6	0	1	0	1	0	0	0	32	0	5	5	6	1	30	2	48	11	92	2.30	3.19	2.33	2.32	2.64	1.02	9.23	84.09	81.99	2.70	0.06
29	2	14	NDMais	0	1	2	0	0	0	7	14	52	2	0	1	1	0	0	0	0	1	0	0	0	14	0	0	1	5	1	75	3	20	2	101	1.81	2.10	2.30	1.91	2.15	1.27	36.54	60.42	17.39	3.45	0.04
30	2	15	ROMaisI	0	0	15	0	0	0	2	2	23	0	0	1	0	3	0	2	0	0	0	0	0	14	0	25	11	2	0	27	15	52	6	100	2.27	2.39	2.73	2.51	2.57	1.20	36.45	44.93	48.12	48.39	0.36
31	4	1	DO2004	0	11	0	0	1	0	0	2	10	2	0	0	1	2	0	3	0	3	0	0	0	24	0	3	47	0	3	14	12	74	6	109	2.66	2.76	2.68	2.67	2.70	1.01	24.66	45.24	69.02	57.89	0.46
32	4	2	HE2004	0	5	0	0	0	0	0	8	15	4	0	0	0	1	2	1	2	3	0	0	0	9	0	3	57	0	5	27	5	69	4	110	2.34	2.67	2.87	2.67	2.80	1.23	22.64	60.66	65.22	13.51	0.16
33	4	3	DO2005	0	9	8	0	0	0	0	6	18	2	0	0	1	1	0	1	0	2	0	0	0	12	0	3	46	0	2	26	17	61	3	109	2.13	2.29	2.80	2.50	2.59	1.32	36.10	52.56	39.84	41.46	0.40
34	4	4	DO2007	0	12	5	0	0	0	1	8	35	3	0	0	2	0	0	0	0	3	0	2	0	31	0	6	2	0	5	47	17	39	2	110	2.10	2.26	2.21	2.14	2.24	1.05	39.15	49.07	37.14	32.08	0.27
35	4	5	EF2007	0	8	2	1	0	0	0	7	18	5	0	0	11	12	0	0	0	4	0	0	0	40	0	4	11	0	4	30	11	55	23	123	2.88	3.10	2.27	2.61	2.71	0.79	15.85	53.52	80.62	26.32	0.27
36	4	6	PA2007	0	9	4	0	0	0	11	3	16	3	0	0	3	2	0	0	0	3	0	0	0	9	0	16	29	1	3	33	13	55	5	109	2.07	2.45	2.84	2.46	2.67	1.37	23.27	68.32	53.28	18.84	0.28
37	4	7	DO2009	0	19	2	0	0	0	0	2	23	1	1	0	1	1	0	0	0	3	0	0	3	27	0	15	12	0	3	27	21	57	2	110	2.21	2.25	2.47	2.35	2.37	1.12	44.89	39.19	36.84	72.41	0.44
38	4	8	EF2009	0	0	0	0	0	1	2	18	58	5	1	0	2	9	0	0	0	7	0	0	0	8	0	0	9	0	7	85	0	17	11	120	2.25	2.57	2.53	2.29	2.57	1.12	25.90	57.14	60.44	0.00	0.00
39	4	9	PO2009	0	21	7	2	0	0	0	12	51	0	2	0	0	1	0	0	0	0	3	0	0	4	0	7	0	0	3	65	30	11	1	110	2.06	2.21	2.64	2.12	2.26	1.28	41.04	49.03	32.19	36.84	0.32
40	4	10	EF2011	0	2	2	0	0	0	1	4	12	3	1	0	4	12	0	0	2	6	0	0	1	52	0	0	1	0	8	21	4	54	16	103	3.16	3.41	2.02	2.56	2.64	0.64	11.18	55.81	86.99	16.67	0.16
41	4	11	ND2011	0	0	1	0	0	0	0	3	2	3	0	0	0	1	0	2	5	5	1	0	0	1	0	30	56	0	11	8	1	87	3	110	3.26	3.60	2.99	3.05	3.10	0.92	7.14	68.42	91.55	7.69	0.11
42	4	12	RO2011	0	14	4	0	0	0	0	1	18	3	0	0	0	2	0	0	0	0	0	0	1	2	0	63	4	0	0	22	18	70	2	112	2.12	2.15	2.96	2.64	2.66	1.40	53.06	36.07	24.27	81.82	0.45
43	4	16	DOMaisII	0	2	0	2	0	0	1	11	8	4	0	0	3	1	0	2	0	0	0	0	3	28	0	11	17	3	0	24	4	62	6	96	2.15	2.77	2.50	2.38	2.57	1.16	14.11	78.13	71.57	4.00	0.14
44	4	17	PAMais	0	0	2	0	0	0	3	11	10	36	0	0	1	3	0	0	0	0	0	0	0	1	0	28	5	0	0	60	2	34	4	100	1.95	2.21	2.97	2.30	2.51	1.52	37.28	54.72	32.16	3.45	0.03
45	4	18	ROMaisII	0	1	3	0	0	0	0	2	75	3	0	0	1	5	0	2	0	0	0	0	0	8	0	4	3	7	0	80	4	22	8	114	2.23	2.26	2.64	2.31	2.33	1.18	57.85	12.77	36.80	33.33	0.05
